id,Title,Sentence,Hiragana,correct_option,wrong_option_1,wrong_option_2
lyric001,マリーゴールド,幸せだ。,しあわせだ,I'm happy. / It's happiness.,I won't let go., I really like you.
lyric002,マリーゴールド,大好きさ。,だいすきさ,I love you. / I really like you.,The sky is still blue.,It's not enough.
lyric003,マリーゴールド,離さない。,はなさない,I won't let go.,Hold me,I will never let go.
lyric004,マリーゴールド,もう離れないで。,もうはなれないで,Don't leave me anymore.,The sky is still blue.,Like this forever.
lyric005,マリーゴールド,目の前でずっと輝いている。,めのまえでずっとかがやいている,It keeps shining right before my eyes.,Don't leave me anymore.,I won't let go.
lyric006,マリーゴールド,あれは空がまだ青い夏のこと。,あれはそらがまだあおいなつのこと,That was a summer when the sky was still blue.,I can't see despair.,The sky is still blue.
lyric007,マリーゴールド,少し冷たい空気。,すこしつめたいくうき,Slightly cold air.,It's not enough.,The sky is still blue.
lyric008,マリーゴールド,空がまだ青い。,そらがまだあおい,The sky is still blue.,It keeps shining right before my eyes.,Don't leave me anymore.
lyric009,マリーゴールド,君を見つめる。,きみをみつめる,I gaze at you.,I won't let go.,True/real feelings.
lyric010,マリーゴールド,抱きしめて。,だきしめて,Hold me. / Hug me.,True/real feelings.,Don't leave me anymore.
lyric011,マリーゴールド,いつまでもこのまま。,いつまでもこのまま,Like this forever.,The sky is still blue.,I won't let go.
lyric012,マリーゴールド,遥か遠い場所にいても。,はるかとおいばしょにいても,Even if (we are) in a faraway place.,I can't see despair.,It keeps shining right before my eyes.
lyric013,マリーゴールド,同じでありますように。,おなじでありますように,I hope (they/we) are the same.,True/real feelings., I really like you.
lyric014,マリーゴールド,君が恋しい。,きみがこいしい,I miss you.,The sky is still blue.,Hold me
lyric015,マリーゴールド,絶望は見えない。,ぜつぼうはみえない,I can't see despair.,I gaze at you.,I will never let go.
lyric016,マリーゴールド,本当の気持ち。,ほんとうのきもち,True/real feelings.,Like this forever.,The sky is still blue.
lyric017,マリーゴールド,全部吐き出せる。,ぜんぶはきだせる,(I) can let everything out.,I won't let go.,I gaze at you.
lyric018,マリーゴールド,足りない。,たりない,It's not enough., I really like you.,Like this forever.
lyric019,マリーゴールド,名前をつけようか。,なまえをつけようか,Shall we give it a name?,Don't leave me anymore.,The sky is still blue.
lyric020,マリーゴールド,いつまでも離さない。,いつまでもはなさない,I will never let go.,It's not enough.,Don't leave me anymore.
lyric021,パプリカ,誰かが呼んでいる。,だれかがよんでいる,Someone is calling.,Sing a song.,A shadow appears.
lyric022,パプリカ,夏が来る。,なつがくる,Summer is coming.,"Let your heart play, and let it reach you.",Slightly cold air.
lyric023,パプリカ,影が立つ。,かげがたつ,A shadow appears.,Summer is coming.,Passing through the tree-lined avenue.
lyric024,パプリカ,あなたに会いたい。,あなたにあいたい,I want to see you.,Someone is calling.,Sing a song.
lyric025,パプリカ,明日も晴れるかな。,あしたもはれるかな,I wonder if it will be sunny tomorrow too.,"Let your heart play, and let it reach you.",It keeps shining right before my eyes.
lyric026,パプリカ,花が咲いたら、種を蒔こう。,はながさいたら、たねをまこう,"When the flowers bloom, let's sow the seeds.",Bounce on your heels; come join this finger game.,
lyric027,パプリカ,晴れた空に種を蒔こう。,はれたそらにたねをまこう,Let's sow the seeds in the clear sky.,The sky is still blue., I really like you.
lyric028,パプリカ,夢を描いたなら、あなたにとどけ。,ゆめをえがいたなら、あなたにとどけ,"If you've drawn a dream, let it reach you.",That was a summer when the sky was still blue.,
lyric029,パプリカ,心を遊ばせ、あなたにとどけ。,こころをあそばせ、あなたにとどけ,"Let your heart play, and let it reach you.",I can't see despair.,Holding flowers.
lyric030,パプリカ,喜びを数えたら、あなたでいっぱい。,よろこびをかぞえたら、あなたでいっぱい,"When I count my joys, they are full of you.",I wonder if it will be sunny tomorrow too.,Even if (we are) in a faraway place.
lyric031,パプリカ,帰り道を照らしたのは、思い出のかげぼうし。,かえりみちをてらしたのは、おもいでのかげぼうし,What illuminated the way home was the shadow of memories.,Passing through the tree-lined avenue.,Don't leave me anymore.
lyric032,パプリカ,会いに行くよ。,あいにいくよ,I'll go to see you.,Someone is calling.,Sing a song.
lyric033,パプリカ,並木を抜けて。,なみきをぬけて,Passing through the tree-lined avenue.,Summer is coming., I really like you.
