vid,japanese,reading,meaning,type,category,subcategory,level
v001,私,わたし,I,noun,self_introduction,～です,1
v002,～です,～です,to be,particle,self_introduction,～です,1
v003,～さん,～さん,Mr.,honorific,self_introduction,～です,1
v004,～ちゃん,～ちゃん,affectionate/diminutive honorific suffix,honorific,self_introduction,～です,1
v005,あなた,あなた,you,pronoun,self_introduction,～です,1
v006,彼,かれ,he,noun,self_introduction,～です,1
v007,彼女,かのじょ,she,noun,self_introduction,～です,1
v008,お名前,おなまえ,name,noun,self_introduction,～です,1
v009,はい,はい,yes,expression,self_introduction,～です,1
v010,ええ,ええ,yes,expression,self_introduction,～です,1
v011,いいえ,いいえ,no,expression,self_introduction,～です,1
v012,そうです,そうです,that's right,expression,self_introduction,～です,1
v013,違います,ちがいます,to be different,expression,self_introduction,～です,1
v014,おはよう,おはよう,good morning,greeting,self_introduction,おはよう,1
v015,こんにちは,こんにちは,hello,greeting,self_introduction,おはよう,1
v016,こんばんは,こんばんは,good evening,greeting,self_introduction,おはよう,1
v017,さようなら,さようなら,goodbye,greeting,self_introduction,おはよう,1
v018,"じゃあ, また","じゃあ, また",see you,greeting,self_introduction,おはよう,1
v019,おやすみなさい,おやすみなさい,good night,greeting,self_introduction,おはよう,1
v020,ありがとう,ありがとう,thank you,expression,self_introduction,おはよう,1
v021,どういたしまして,どういたしまして,you're welcome,expression,self_introduction,おはよう,1
v022,どうぞ,どうぞ,please,greeting,self_introduction,おはよう,1
v023,どうも,どうも,thanks,greeting,self_introduction,おはよう,1
v024,はじめまして,はじめまして,nice to meet you,greeting,self_introduction,おはよう,1
v025,どうぞよろしく,どうぞよろしく,please treat me favorably,greeting,self_introduction,おはよう,1
v026,こちらこそ,こちらこそ,likewise,greeting,self_introduction,おはよう,1
v027,両親,りょうしん,parents,noun,self_introduction,かぞく,2
v028,母,はは,my mother,noun,self_introduction,かぞく,2
v029,父,ちち,my father,noun,self_introduction,かぞく,2
v030,姉,あね,my older sister,noun,self_introduction,かぞく,2
v031,兄,あに,my older brother,noun,self_introduction,かぞく,2
v032,弟,おとうと,younger brother,noun,self_introduction,かぞく,2
v033,妹,いもうと,younger sister,noun,self_introduction,かぞく,2
v034,兄弟,きょうだい,siblings,noun,self_introduction,かぞく,2
v035,犬,いぬ,dog,noun,self_introduction,かぞく,2
v036,猫,ねこ,cat,noun,self_introduction,かぞく,2
v037,いる,いる,to exist; to be (living things),verb,self_introduction,かぞく,2
v038,うち,うち,home; household; one’s family,noun,self_introduction,かぞく,2
v039,家族,かぞく,family,noun,self_introduction,かぞく,2
v040,おじいさん,おじいさん,grandfather; elderly man,noun,self_introduction,かぞく,2
v041,おばあさん,おばあさん,grandmother; elderly woman,noun,self_introduction,かぞく,2
v042,ご両親,ごりょうしん,(someone else’s) parents,noun,self_introduction,かぞく,2
v043,お父さん,おとうさん,father; (someone else’s) father,noun,self_introduction,かぞく,2
v044,お母さん,おかあさん,mother; (someone else’s) mother,noun,self_introduction,かぞく,2
v045,お姉さん,おねえさん,older sister; young woman,noun,self_introduction,かぞく,2
v046,お兄さん,おにいさん,older brother; young man,noun,self_introduction,かぞく,2
v047,弟さん,おとうとさん,someone else’s younger brother,noun,self_introduction,かぞく,2
v048,妹さん,いもうとさん,someone else’s younger sister,noun,self_introduction,かぞく,2
v049,何人,なんにん,how many people,counter,self_introduction,なんにん,3
v050,一人,ひとり,one person,counter,self_introduction,なんにん,3
v051,二人,ふたり,two people,counter,self_introduction,なんにん,3
v052,三人,さんにん,three people,counter,self_introduction,なんにん,3
v053,四人,よにん,four people,counter,self_introduction,なんにん,3
v054,五人,ごにん,five people,counter,self_introduction,なんにん,3
v055,六人,ろくにん,six people,counter,self_introduction,なんにん,3
v056,七人,しちにん,seven people,counter,self_introduction,なんにん,3
v057,八人,はちにん,eight people,counter,self_introduction,なんにん,3
v058,九人,きゅうにん,nine people,counter,self_introduction,なんにん,3
v059,十人,じゅうにん,ten people,counter,self_introduction,なんにん,3
v060,大人,おとな,adult,noun,self_introduction,なんにん,3
v061,子供,こども,child; children,noun,self_introduction,なんにん,3
v062,男の人,おとこのひと,man,noun,self_introduction,なんにん,3
v063,女の人,おんなのひと,woman,noun,self_introduction,なんにん,3
v064,男の子,おとこのこ,boy,noun,self_introduction,なんにん,3
v065,女の子,おんなのこ,girl,noun,self_introduction,なんにん,3
v066,国,くに,country,noun,self_introduction,～からきました,4
v067,ある,ある,to exist; to have (non-living things),verb,self_introduction,～からきました,4
v068,どちら,どちら,which; where (polite),pronoun,self_introduction,～からきました,4
v069,～から来ました,～からきました,came from; am from,expression,self_introduction,～からきました,4
v070,～人,～じん,person of [nationality]; [nationality] person,suffix,self_introduction,～からきました,4
v071,地図,ちず,map,noun,self_introduction,～からきました,4
v072,世界,せかい,world,noun,self_introduction,～からきました,4
v073,日本,にほん,Japan,proper_noun,self_introduction,～からきました,4
